name,year,genre,runtime,rating,num_votes,revenue,director,actor1,actor2,actor3,rated
men in black ii,2002,Action,88,6,209700,190000000.0,Barry Sonnenfeld,Tommy Lee Jones,Will Smith,Rip Torn,PG_13
wreck-it ralph,2012,Animation,101,7.8,199892,189000000.0,Rich Moore,John C. Reilly,Jack McBrayer,Jane Lynch,PG
gladiator,2000,Action,155,8.5,749250,188000000.0,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,R
gladiator,1992,Action,101,6.4,5934,188000000.0,Ridley Scott,Russell Crowe,Joaquin Phoenix,Connie Nielsen,R
the croods,2013,Animation,98,7.3,115188,187000000.0,Kirk De Micco,Chris Sanders,Nicolas Cage,Ryan Reynolds,PG
sherlock holmes: a game of shadows,2011,Action,129,7.5,266497,187000000.0,Guy Ritchie,Robert Downey Jr.,Jude Law,Jared Harris,PG_13
the day after tomorrow,2004,Action,124,6.4,272726,187000000.0,Roland Emmerich,Dennis Quaid,Jake Gyllenhaal,Emmy Rossum,PG_13
dances with wolves,1990,Adventure,181,8,155317,184000000.0,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,PG_13
batman forever,1995,Action,121,5.4,161443,184000000.0,Joel Schumacher,Val Kilmer,Tommy Lee Jones,Jim Carrey,PG_13
the fugitive,1993,Action,130,7.8,186856,184000000.0,Andrew Davis,Harrison Ford,Tommy Lee Jones,Sela Ward,PG_13
the simpsons movie,2007,Animation,87,7.4,220207,183000000.0,David Silverman,Dan Castellaneta,Julie Kavner,Nancy Cartwright,PG_13
what women want,2000,Comedy,127,6.4,137173,183000000.0,Nancy Meyers,Mel Gibson,Helen Hunt,Marisa Tomei,PG_13
the perfect storm,2000,Action,130,6.4,119323,183000000.0,Wolfgang Petersen,George Clooney,Mark Wahlberg,Diane Lane,PG_13
lincoln,2012,Biography,150,7.4,165149,182000000.0,Steven Spielberg,Daniel Day-Lewis,Sally Field,David Strathairn,PG_13
