Crocodile Dundee,175000000.0,Peter Faiman,Paul Hogan,Linda Kozlowski,John Meillon,PG_13
Home Alone 2: Lost in New York,174000000.0,Chris Columbus,Macaulay Culkin,Joe Pesci,Daniel Stern,PG
Elf,173000000.0,Jon Favreau,Will Ferrell,James Caan,Bob Newhart,PG
National Treasure,173000000.0,Jon Turteltaub,Nicolas Cage,Diane Kruger,Justin Bartha,PG
Rain Man,173000000.0,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,R
Air Force One,173000000.0,Wolfgang Petersen,Harrison Ford,Gary Oldman,Glenn Close,R
TRON: Legacy,172000000.0,Joseph Kosinski,Jeff Bridges,Garrett Hedlund,Olivia Wilde,PG
The Matrix,171000000.0,Andy Wachowski,Lana Wachowski,Keanu Reeves,Laurence Fishburne,R
Tarzan,171000000.0,Chris Buck,Kevin Lima,Tony Goldwyn,Minnie Driver,G
True Grit,171000000.0,Ethan Coen,Joel Coen,Jeff Bridges,Matt Damon,PG_13
A Beautiful Mind,171000000.0,Ron Howard,Russell Crowe,Ed Harris,Jennifer Connelly,PG_13
Chicago,171000000.0,Rob Marshall,Ren̩e Zellweger,Catherine Zeta-Jones,Richard Gere,PG_13
The Help,170000000.0,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,PG_13
Bridesmaids,169000000.0,Paul Feig,Kristen Wiig,Maya Rudolph,Rose Byrne,R
Quantum of Solace,168000000.0,Marc Forster,Daniel Craig,Olga Kurylenko,Mathieu Amalric,PG_13
Wild Hogs,168000000.0,Walt Becker,Tim Allen,Martin Lawrence,John Travolta,TV_14
3 Men and a Baby,168000000.0,Leonard Nimoy,Tom Selleck,Steve Guttenberg,Ted Danson,PG
Casino Royale,167000000.0,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,PG_13
Meet the Parents,166000000.0,Jay Roach,Ben Stiller,Robert De Niro,Teri Polo,PG_13
2012,166000000.0,Roland Emmerich,John Cusack,Thandie Newton,Chiwetel Ejiofor,PG_13
Robin Hood: Prince of Thieves,166000000.0,Kevin Reynolds,Kevin Costner,Morgan Freeman,Mary Elizabeth Mastrantonio,PG_13
Kung Fu Panda 2,165000000.0,Jennifer Yuh,Jack Black,Angelina Jolie,Jackie Chan,PG
Hannibal,165000000.0,Ridley Scott,Anthony Hopkins,Julianne Moore,Gary Oldman,R
Catch Me If You Can,164000000.0,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,PG_13
The Proposal,164000000.0,Anne Fletcher,Sandra Bullock,Ryan Reynolds,Mary Steenburgen,PG_13
Big Daddy,163000000.0,Dennis Dugan,Adam Sandler,Joey Lauren Adams,Jon Stewart,PG_13
Gone Girl,163000000.0,David Fincher,Ben Affleck,Rosamund Pike,Neil Patrick Harris,R
The Sound of Music,163000000.0,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,APPROVED
Clash of the Titans,163000000.0,Louis Leterrier,Sam Worthington,Liam Neeson,Ralph Fiennes,NULL
Batman Returns,163000000.0,Tim Burton,Michael Keaton,Danny DeVito,Michelle Pfeiffer,PG_13
Django Unchained,163000000.0,Quentin Tarantino,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,R
A Bug's Life,163000000.0,John Lasseter,Andrew Stanton,Kevin Spacey,Dave Foley,G
The Pursuit of Happyness,163000000.0,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,PG_13
Grown Ups,162000000.0,Dennis Dugan,Adam Sandler,Salma Hayek,Kevin James,PG_13
The Waterboy,161000000.0,Frank Coraci,Adam Sandler,Kathy Bates,Henry Winkler,PG_13
Ice Age: Continental Drift,161000000.0,Steve Martino,Mike Thurmeier,Ray Romano,Denis Leary,PG
Shark Tale,161000000.0,Bibo Bergeron,Vicky Jenson,Will Smith,Robert De Niro,PG
Interstellar,161000000.0,Christopher Nolan,Matthew McConaughey,Anne Hathaway,Jessica Chastain,PG_13
Die Another Day,160000000.0,Lee Tamahori,Pierce Brosnan,Halle Berry,Rosamund Pike,PG_13
The Sting,160000000.0,George Roy Hill,Paul Newman,Robert Redford,Robert Shaw,TV_14
The Heat,160000000.0,Paul Feig,Sandra Bullock,Michael McDonald,Melissa McCarthy,R
The Firm,158000000.0,Sydney Pollack,Tom Cruise,Jeanne Tripplehorn,Gene Hackman,R
The Longest Yard,158000000.0,Peter Segal,Adam Sandler,Burt Reynolds,Chris Rock,PG_13
X-Men,157000000.0,Bryan Singer,Patrick Stewart,Hugh Jackman,Ian McKellen,PG_13
Scary Movie,157000000.0,Keenen Ivory Wayans,Anna Faris,Jon Abrahams,Marlon Wayans,R
