name	year	genre	runtime	rating	num_votes	img_src	revenue	director	actor1	actor2	actor3	rated
the hangover	2009	Comedy	100	7.8	474444	http://ia.media-imdb.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1._SX54_CR0,0,54,74_.jpg	2.77e+08	Todd Phillips	Zach Galifianakis	Bradley Cooper	Justin Bartha	UNRATED
gravity	2013	Sci-Fi	91	8	448353	http://ia.media-imdb.com/images/M/MV5BNjE5MzYwMzYxMF5BMl5BanBnXkFtZTcwOTk4MTk0OQ@@._V1._SX54_CR0,0,54,74_.jpg	2.74e+08	Alfonso CuarÃ³n	Sandra Bullock	George Clooney	Ed Harris	PG_13
monsters university	2013	Animation	104	7.4	171153	http://ia.media-imdb.com/images/M/MV5BMTUyODgwMDU3M15BMl5BanBnXkFtZTcwOTM4MjcxOQ@@._V1._SX54_CR0,0,54,74_.jpg	2.68e+08	Dan Scanlon	Billy Crystal	John Goodman	Steve Buscemi	G
shrek	2001	Animation	90	7.9	374363	http://ia.media-imdb.com/images/M/MV5BMTk2NTE1NTE0M15BMl5BanBnXkFtZTgwNjY4NTYxMTE@._V1._SX54_CR0,0,54,74_.jpg	2.68e+08	Andrew Adamson	Vicky Jenson	Mike Myers	Eddie Murphy	PG
the hunger games: mockingjay - part 1	2014	Adventure	123	7.2	84093	http://ia.media-imdb.com/images/M/MV5BMTcxNDI2NDAzNl5BMl5BanBnXkFtZTgwODM3MTc2MjE@._V1._SX54_CR0,0,54,74_.jpg	2.64e+08	Francis Lawrence	Jennifer Lawrence	Josh Hutcherson	Liam Hemsworth	PG_13
the amazing spider-man	2012	Action	136	7.1	357530	http://ia.media-imdb.com/images/M/MV5BMjMyOTM4MDMxNV5BMl5BanBnXkFtZTcwNjIyNzExOA@@._V1._SX54_CR0,0,54,74_.jpg	2.62e+08	Marc Webb	Andrew Garfield	Emma Stone	Rhys Ifans	PG_13
harry potter and the chamber of secrets	2002	Adventure	161	7.3	313258	http://ia.media-imdb.com/images/M/MV5BMTcxODgwMDkxNV5BMl5BanBnXkFtZTYwMDk2MDg3._V1._SX54_CR0,0,54,74_.jpg	2.62e+08	Chris Columbus	Daniel Radcliffe	Rupert Grint	Emma Watson	TV_PG
the incredibles	2004	Animation	115	8	374156	http://ia.media-imdb.com/images/M/MV5BMTY5OTU0OTc2NV5BMl5BanBnXkFtZTcwMzU4MDcyMQ@@._V1._SX54_CR0,0,54,74_.jpg	2.61e+08	Brad Bird	Craig T. Nelson	Samuel L. Jackson	Holly Hunter	PG
how the grinch stole christmas	2000	Comedy	104	5.9	113608	http://ia.media-imdb.com/images/M/MV5BMTM2NzgzNTk2Nl5BMl5BanBnXkFtZTcwMjUxNjUyMQ@@._V1._SX54_CR0,0,54,74_.jpg	2.6e+08	Ron Howard	Jim Carrey	Taylor Momsen	Kelley	PG
jaws	1975	Drama	124	8.1	323351	http://ia.media-imdb.com/images/M/MV5BNDcxODkyMjY4MF5BMl5BanBnXkFtZTgwOTk5NTc5MDE@._V1._SX54_CR0,0,54,74_.jpg	2.6e+08	Steven Spielberg	Roy Scheider	Robert Shaw	Richard Dreyfuss	TV_14
captain america: the winter soldier	2014	Action	136	7.9	288407	http://ia.media-imdb.com/images/M/MV5BMzA2NDkwODAwM15BMl5BanBnXkFtZTgwODk5MTgzMTE@._V1._SX54_CR0,0,54,74_.jpg	2.6e+08	Anthony Russo	Joe Russo	Chris Evans	Samuel L. Jackson	PG_13
the hobbit: the desolation of smaug	2013	Adventure	161	8	344325	http://ia.media-imdb.com/images/M/MV5BMzU0NDY0NDEzNV5BMl5BanBnXkFtZTgwOTIxNDU1MDE@._V1._SX54_CR0,0,54,74_.jpg	2.58e+08	Peter Jackson	Ian McKellen	Martin Freeman	Richard Armitage	PG_13
the lego movie	2014	Animation	100	7.9	163891	http://ia.media-imdb.com/images/M/MV5BMTg4MDk1ODExN15BMl5BanBnXkFtZTgwNzIyNjg3MDE@._V1._SX54_CR0,0,54,74_.jpg	2.58e+08	Phil Lord	Christopher Miller	Will Arnett	Elizabeth Banks	PG
star trek	2009	Action	127	8	439452	http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1._SX54_CR0,0,54,74_.jpg	2.58e+08	J.J. Abrams	Chris Pine	Zachary Quinto	Simon Pegg	PG_13
i am legend	2007	Drama	101	7.2	421419	http://ia.media-imdb.com/images/M/MV5BMTU4NzMyNDk1OV5BMl5BanBnXkFtZTcwOTEwMzU1MQ@@._V1._SX54_CR0,0,54,74_.jpg	2.56e+08	Francis Lawrence	Will Smith	Alice Braga	Charlie Tahan	PG_13
the blind side	2009	Biography	129	7.7	177153	http://ia.media-imdb.com/images/M/MV5BMjEzOTE3ODM3OF5BMl5BanBnXkFtZTcwMzYyODI4Mg@@._V1._SX54_CR0,0,54,74_.jpg	2.56e+08	John Lee Hancock	Quinton Aaron	Sandra Bullock	Tim McGraw	PG_13
the hangover part ii	2011	Comedy	102	6.5	303069	http://ia.media-imdb.com/images/M/MV5BMTM2MTM4MzY2OV5BMl5BanBnXkFtZTcwNjQ3NzI4NA@@._V1._SX54_CR0,0,54,74_.jpg	2.54e+08	Todd Phillips	Bradley Cooper	Zach Galifianakis	Ed Helms	R
despicable me	2010	Animation	95	7.7	284351	http://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1._SX54_CR0,0,54,74_.jpg	2.52e+08	Pierre Coffin	Chris Renaud	Steve Carell	Jason Segel	TV_PG
batman	1989	Action	126	7.6	226932	http://ia.media-imdb.com/images/M/MV5BMTYwNjAyODIyMF5BMl5BanBnXkFtZTYwNDMwMDk2._V1._SX54_CR0,0,54,74_.jpg	2.51e+08	Tim Burton	Michael Keaton	Jack Nicholson	Kim Basinger	TV_14
night at the museum	2006	Action	108	6.4	180773	http://ia.media-imdb.com/images/M/MV5BMTQyOTM4MDMxN15BMl5BanBnXkFtZTcwODg5NTQzMw@@._V1._SX54_CR0,0,54,74_.jpg	2.51e+08	Shawn Levy	Ben Stiller	Carla Gugino	Ricky Gervais	PG
men in black	1997	Comedy	98	7.2	324841	http://ia.media-imdb.com/images/M/MV5BNzA2MzI5Nzc0N15BMl5BanBnXkFtZTcwODE2NDU2MQ@@._V1._SX54_CR0,0,54,74_.jpg	2.5e+08	Barry Sonnenfeld	Tommy Lee Jones	Will Smith	Linda Fiorentino	PG_13
harry potter and the prisoner of azkaban	2004	Adventure	142	7.8	306917	http://ia.media-imdb.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1._SX54_CR0,0,54,74_.jpg	2.49e+08	Alfonso CuarÃ³n	Daniel Radcliffe	Emma Watson	Rupert Grint	PG
toy story 2	1999	Animation	92	7.9	305647	http://ia.media-imdb.com/images/M/MV5BMTQ0OTU0NTcyNl5BMl5BanBnXkFtZTcwOTk5Mjc4OA@@._V1._SY74_CR1,0,54,74_.jpg	2.46e+08	John Lasseter	Ash Brannon	Tom Hanks	Tim Allen	G
transformers: age of extinction	2014	Action	165	5.9	161041	http://ia.media-imdb.com/images/M/MV5BMjEwNTg1MTA5Nl5BMl5BanBnXkFtZTgwOTg2OTM4MTE@._V1._SX54_CR0,0,54,74_.jpg	2.45e+08	Michael Bay	Mark Wahlberg	Nicola Peltz	Jack Reynor	PG_13
cars	2006	Animation	117	7.2	192733	http://ia.media-imdb.com/images/M/MV5BMTE5Mzk5MTA2Ml5BMl5BanBnXkFtZTYwNTY3NTc2._V1._SX54_CR0,0,54,74_.jpg	2.44e+08	John Lasseter	Joe Ranft	Owen Wilson	Bonnie Hunt	G
bruce almighty	2003	Comedy	101	6.7	243818	http://ia.media-imdb.com/images/M/MV5BMTYwMTUyNzAxMF5BMl5BanBnXkFtZTYwMDYwOTY3._V1._SX54_CR0,0,54,74_.jpg	2.43e+08	Tom Shadyac	Jim Carrey	Jennifer Aniston	Morgan Freeman	PG_13
